Language,Consonants
Franco-Proven%C3%A7al,"['b', 'ç', 'd', 'ð', 'f', 'ɡ', 'dʒ', 'ɟ', 'ʒ', 'h', 'k', 'ʃ', 'ts', 'tʃ', 'l', 'ʎ', 'm', 'n', 'ɲ', 'ŋ', 'p', 'ʁ', 's', 't', 'θ', 'v', 'z']"
French,"['b', 'd', 'f', 'ɡ', 'k', 'l', 'm', 'n', 'ɲ', 'ŋ', 'p', 'ʁ', 's', 'ʃ', 't', 'v', 'z', 'ʒ', 'j', 'w', 'ɥ']"
Galician,"['b', 'β', 'd', 'ð', 'f', 'ɡ', 'ɣ', 'k', 'l', 'ʎ', 'm', 'n', 'ŋ', 'ɲ', 'p', 'θ', 'r', 'ɾ', 's', 'ʃ', 't', 'tʃ', 'v', 'z', 'ħ', 'ʝ']"
Georgian,"['b', 'ɡ', 'd', 'v', 'z', 'tʰ', 'kʼ', 'l', 'm', 'n', 'pʼ', 'ʒ', 'r', 's', 'tʼ', 'pʰ', 'kʰ', 'ʁ', 'qʼ', 'ʃ', 'tʃʰ', 'tsʰ', 'dz', 'tsʼ', 'tʃʼ', 'χ', 'dʒ', 'h']"
Standard_German,"['b', 'ç', 'd', 'f', 'ɡ', 'h', 'j', 'k', 'l', 'l̩', 'm', 'm̩', 'n', 'n̩', 'ŋ', 'p', 'pf', 'ʁ', 's', 'ʃ', 't', 'ts', 'tʃ', 'v', 'x', 'z', 'ʔ', 'dʒ', 'ɹ', 'ʒ', 'ˈ', 'ˌ']"
Alemannic_German,"['b̥', 'ç', 'd̥', 'f', 'fː', 'ɡ̊', 'ɣ̊', 'ʁ̥', 'h', 'j', 'k', 'kː', 'kʰ', 'kx', 'qχ', 'l', 'lː', 'ɫ', 'ɫː', 'm', 'mː', 'n', 'nː', 'ŋ', 'ŋː', 'p', 'pː', 'pʰ', 'pf', 'r', 'rː', 'ʀ', 'ʁ', 'ʁ̥', 'ʕ', 's', 'sː', 'ʃ', 'ʃː', 't', 'tː', 'tʰ', 'ts', 'tʃ', 'v̥', 'ʋ', 'ʋː', 'w', 'wː', 'x', 'xː', 'χ', 'χː', 'z̥', 'ʒ̊']"
Colognian,"['b', 'd', 'dʒ', 'f', 'ɡ', 'h', 'ɧ', 'j', 'ʒ', 'k', 'l', 'm', 'n', 'ŋ', 'p', 'ʁ', 's', 'ʃ', 't', 'ts', 'tʃ', 'v', 'w', 'x', 'z', 'ʔ']"
Greek,"['c', 'k', 'kʰ', 'x', 'ç', 'j', 'ʝ', 'ɣ', 'ɡ', 'ɟ', 'p', 'pʰ', 'f', 'v', 'b', 'w', 't', 'tʰ', 'θ', 'ð', 'd', 'h', 'l', 'ʎ', 'm', 'n', 'ɲ', 'ŋ', 'r', 'r̥', 's', 'z', 't͡s', 'd͡z', 'ʃ', 'ɕ', 'ʒ', 'ʑ', 't͡ʃ', 't͡ɕ', 'd͡ʒ', 'd͡ʑ', 'æ', '◌ː']"
Gujarati,"['b', 'd', 'ɖ', 'dʒ', 'ɡ', 'h', 'ɦ', 'j', 'k', 'l', 'ɭ', 'm', 'n', 'ɳ', 'ɲ', 'ŋ', 'p', 'ɾ', 'ɽ', 's', 'ʂ', 'ʃ', 't', 'ʈ', 'tʃ', 'ʋ']"
Haitian_Creole,"['b', 'ʃ', 'd', 'f', 'ɡ', 'h', 'j', 'k', 'l', 'm', 'n', 'ŋ', 'p', 's', 't', 'v', 'w', 'ɥ', 'z', 'ʒ', 'dʒ']"
Hawaiian,"['h', 'j', 'k', 'l', 'm', 'n', 'p', 't', 'v', 'w', 'ʔ', 'ˈ']"
Hebrew,"['b', 'd', 'ð', 'f', 'ɡ', 'ɣ', 'h', 'ħ', 'j', 'k', 'l', 'm', 'n', 'p', 'q', 'r', 's', 'sˤ', 'ʃ', 't', 'tˤ', 'θ', 'v', 'w', 'x', 'z', 'ʕ', 'ʔ', 'dʒ', 'ŋ', 'ʒ', 'tʃ', 'θ', 'ð', 'w']"
Hindi_and_Urdu,"['b', 'bʱ', 'd', 'dʱ', 'dʒ', 'dʒʱ', 'ɖ', 'ɖʱ', 'f', 'ɡ', 'ɡʱ', 'ɣ', 'ɦ', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'ɳ', 'ɲ', 'ŋ', 'p', 'pʰ', 'q', 'r', 'ɾ', 'ɽ', 'ɽʱ', 's', 'ʂ', 'ʃ', 't', 'tʰ', 'tʃ', 'tʃʰ', 'ʈ', 'ʈʰ', 'ʋ', 'w', 'x', 'z', 'ʒ']"
Hungarian,"['b', 'c', 'd', 'd͡z', 'd͡ʒ', 'f', 'ɡ', 'h', 'j', 'ɟ', 'k', 'l', 'm', 'n', 'ŋ', 'ɲ', 'p', 'r', 's', 'ʃ', 't', 't͡s', 't͡ʃ', 'v', 'z', 'ʒ']"
Icelandic,"['c', 'cʰ', 'ç', 'ð', 'f', 'ɣ', 'h', 'ʰc', 'ʰk', 'ʰp', 'ʰt', 'j', 'k', 'kʰ', 'l', 'l̥', 'm', 'm̥', 'n', 'n̥', 'ɲ', 'ɲ̊', 'ŋ', 'ŋ̊', 'p', 'pʰ', 'r', 'r̥', 's', 't', 'tʰ', 'θ', 'v', 'x', 'xʷ']"
Malay,"['b', 'd', 'dʒ', 'f', 'ɡ', 'h', 'j', 'k', 'l', 'm', 'n', 'ŋ', 'ɲ', 'p', 'r', 's', 'ʃ', 't', 'tʃ', 'v', 'w', 'x', 'z', 'ʔ']"
Inuktitut,"['a', 'h', 'p', 't', 'k', 'ɣ', 'm', 'n', 's', 'l', 'j', 'v', 'ʁ', 'q', 'ŋ', 'ɬ']"
Inupiaq,"['h', 'ɣ', 'j', 'k', 'l', 'ɬ', 'ʎ', 'ʎ̥', 'm', 'n', 'ŋ', 'ɲ', 'p', 'q', 'ʁ', 's', 'ʂ', 't', 'tʃ', 'v', 'ʐ', 'f', 'ɴ', 'x', 'χ']"
Irish,
